Datetime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2018-02-16 16:08:00,2801.53083862,2973.84023691,2980.22984393,3012.84591829,3068.80594874,2859.69810899,2759.43505508
2018-02-16 16:10:00,2895.10909353,3129.47286956,2987.08067261,3083.89220965,3321.85743268,3146.34753645,2906.21457597
2018-02-16 16:12:00,3243.85814534,2906.14216337,3084.59732782,3505.9625708,3254.26107729,2978.34240755,3059.51250799
2018-02-16 16:14:00,2985.24100537,3217.57332429,3004.3331332,2719.63336514,3053.05860737,2935.91531523,2897.91505202
2018-02-16 16:16:00,3101.08898277,3246.21410774,3063.43419606,3133.9235288,3212.0203076,3055.5535748,2940.26403945
2018-02-16 16:18:00,3135.67412882,3169.04756869,3053.39625664,3094.85404075,3155.24510479,3091.05396048,2964.66427654
2018-02-16 16:20:00,3127.10473686,3354.88643471,3205.86517953,2718.45347743,3602.15492643,3188.52391561,3173.28659511
2018-02-16 16:22:00,3363.92556999,3379.19268393,3281.3383208,4024.40459067,3319.40104916,3335.24927663,3301.67854771
2018-02-16 16:24:00,3335.35236775,3653.35911895,3599.55705584,3543.59885428,3787.32829279,3450.1359248,3293.56549343
2018-02-16 16:26:00,3491.22367422,3591.86681727,3412.61573487,3512.84951911,3567.00236965,3474.31928169,3385.08393276
2018-02-16 16:28:00,3508.75595296,3736.0541335,3757.88913251,3583.99151148,3739.74050138,3371.22937224,3281.60171451
2018-02-16 16:30:00,3454.97753979,3446.18795821,3243.14367346,3507.24953426,3617.42842762,3456.34731674,3354.07710303
2018-02-16 16:32:00,3494.18325663,3536.38344554,3524.67631961,3578.44984497,3728.87554505,3441.99052513,3352.34642842
2018-02-16 16:34:00,3343.23735977,3494.23788775,3506.12793805,3399.34156486,3526.74523057,3495.10781197,3360.16495302
2018-02-16 16:36:00,3516.90990465,3783.19882882,3487.52383601,3668.30153484,3731.31501918,3591.17571717,3533.70743042
2018-02-16 16:38:00,3674.20567283,3550.97059718,3672.83978373,3793.91605418,3622.03668258,3401.04865961,3392.90479958
2018-02-16 16:40:00,3631.4121283,3678.24535583,3521.47951228,3479.62569078,3825.98717417,3683.83187267,3401.85188053
2018-02-16 16:42:00,3170.73495247,3594.94529181,3412.15370924,3590.48038882,3536.773305,3289.64930445,3361.8631157
2018-02-16 16:56:00,3491.12726768,3959.25610047,3803.86601511,3758.96716193,3889.08287159,5669.28090991,3595.88434305
2018-02-16 16:58:00,3887.40066829,3942.41623575,3227.62924182,3440.96116137,3567.18412779,2137.74799519,3401.48184262
2018-02-16 17:00:00,3885.91818186,4077.42230107,3971.67223395,4220.53115708,4546.73182223,4839.0699705,3927.26973286
2018-02-16 17:02:00,3637.04620774,4129.36092375,3917.56414402,3874.59506775,3466.44373264,1909.5660141,3859.31931604
2018-02-16 17:04:00,4014.78863553,3520.34193652,3782.63995193,3619.14817311,3836.92901736,3792.42702863,3514.37140616
2018-02-16 17:06:00,4084.60182464,3919.42559407,3781.3577355,3966.34096407,3984.92587574,4331.11222842,3367.62622947
2018-02-16 17:08:00,3325.30167716,3927.47834101,3625.50292181,3869.84593275,3650.3561721,2699.22286137,3186.52138347
2018-02-16 17:10:00,3621.49439924,3656.70948284,3010.12861426,3546.89960532,4274.69845345,3916.78341045,3463.25645839
2018-02-16 17:12:00,4313.55464735,4175.68418632,3970.51028647,3822.17655727,3596.41144052,3091.35599613,3574.54151646
2018-02-16 17:14:00,3981.63562804,4062.51499961,3917.99525453,3866.73037401,4131.92690208,4371.26312584,3749.40230215
2018-02-16 17:16:00,4238.99148805,4377.66924529,3917.96878554,3969.1016208,4268.11468745,4444.89902722,3983.89608625
2018-02-16 17:18:00,4410.69228009,4651.48403037,4716.92564992,4650.86536687,4246.54672009,3608.35941403,4080.83014158
2018-02-16 17:20:00,4462.15836305,4329.45453065,3976.84946802,4266.81734811,4397.4648139,4999.52974192,4179.95216912
2018-02-16 17:22:00,4703.38844852,4926.6816473,4683.33498979,4729.27495426,4929.01013926,3486.19484131,4442.57167412
2018-02-16 17:24:00,4995.74802948,4982.09181526,5031.52291569,4544.95610445,4562.8510572,4643.65237462,4235.54692022
2018-02-16 17:26:00,4694.01788518,4491.76113376,4130.47717174,4542.4417292,4826.11016229,4162.90888116,4349.1807083
2018-02-16 17:28:00,4592.35554096,4871.2178003,4451.32705852,4676.5991986,4374.1017431,4311.35085218,4175.10525369
2018-02-16 17:30:00,4657.35465709,4504.54677533,4220.83075274,4340.22091995,4602.75009727,4870.1269006,4332.23912843
2018-02-16 17:32:00,4571.72722493,4855.39446122,4560.29695944,4801.59149502,4954.94101252,4522.37245663,4472.47896013
2018-02-16 17:34:00,5141.08807995,5368.76426769,5200.66079659,4882.61769285,5091.39642281,4707.16238501,4708.1266984
2018-02-16 17:36:00,5508.25416249,5153.23726465,4753.83204207,5155.76797865,5033.50040361,5511.40648244,4703.18961683
2018-02-16 17:38:00,5476.10041909,5799.78584379,5042.75062318,5284.14832653,5425.11192429,5095.74254465,5130.00139864
2018-02-16 17:40:00,5616.20864957,5329.57442678,5291.7106813,5142.4434262,5336.04517891,5653.96900176,4983.6427808
2018-02-16 17:42:00,5482.97502115,5814.3561707,5697.2833134,5362.79086397,4923.27147592,4008.90783688,4773.02844116
2018-02-16 17:44:00,5599.27841339,5342.12582747,5432.56034906,5185.76307584,5884.28083369,4456.25786453,4783.37842933
2018-02-16 17:46:00,-849.007334576,5550.7625722,4358.18788332,5701.25087438,5018.43330382,5561.751876,5221.61711226
2018-02-16 17:48:00,11639.6731784,6164.26657742,5963.36012744,5308.26572152,5578.97848217,6507.09753925,4920.32503084
2018-02-16 17:50:00,6522.06955219,5059.4311594,4857.82965572,5676.33190828,5888.20970459,3760.76325405,5667.83690355
2018-02-16 17:52:00,6135.89416464,6526.28433281,6658.48292456,5618.42232532,5614.94920644,5448.03935474,4842.14114852
2018-02-16 17:54:00,6374.54165133,6049.5561835,5704.96299433,5454.17148532,5558.53316698,5587.68633169,5167.57140927
2018-02-16 17:56:00,5935.48950113,5468.94559642,4552.75978619,5869.94851017,6126.84624024,5351.0960361,5536.52242127
2018-02-16 17:58:00,6076.02801045,6062.83721329,6071.60272733,6694.51659512,7962.44812868,9651.58485126,8414.16785118
2018-02-16 18:00:00,9128.43436508,9389.14766418,9192.65626081,7773.4643603,5999.36630355,4349.59436013,5050.6757395
2018-02-16 18:02:00,5741.21027652,5452.30659019,4616.47792103,5097.55289798,5482.58721005,5583.01474121,5175.97555122
2018-02-16 18:04:00,4719.80306287,5769.86071373,5763.31150757,5043.50345775,5834.40707077,5106.12278902,5258.54798139
2018-02-16 18:06:00,5864.15402039,5619.72142078,5054.11210753,5730.95451633,5749.61193435,6141.49891647,5215.32029049
2018-02-16 18:08:00,5955.09825079,5967.94356153,5731.28604555,6008.28636809,5505.78525264,4563.60707892,5143.21022248
2018-02-16 18:10:00,6182.63448822,5946.97191704,5647.77887748,5084.15639137,5658.30667321,3971.84049195,5616.7562365
2018-02-16 18:12:00,9272.95361669,5804.97651587,4821.88625245,5384.68283971,6186.19335309,7081.21246963,4772.13105211
2018-02-16 18:14:00,3370.32441401,5745.44279252,6263.14653785,5516.66595029,5331.27599102,4173.61578038,5250.97095833
2018-02-16 18:16:00,4804.27296054,6028.65225501,5457.60325428,5998.8318279,5956.73855659,5884.4884344,5454.25132731
2018-02-16 18:18:00,6099.48160958,6192.01527164,5315.85023896,6000.56182726,6309.00998164,5148.0043492,5469.69570658
2018-02-16 18:20:00,5372.23453991,5663.41539945,6066.90564007,5097.16737282,4812.31327452,5912.12072048,5311.14669446
2018-02-16 18:22:00,5829.63940775,5953.33516824,4683.30436739,6108.666481,5981.56786955,6140.11033893,5531.45662597
2018-02-16 18:24:00,6468.50779309,6202.3186637,6855.25113971,5401.67510825,6352.24591815,4293.78113762,5431.52951197
2018-02-16 18:26:00,5910.31525784,6164.82958047,5483.06674245,5906.96656571,5817.53583233,7207.67781702,5104.30710991
2018-02-16 18:28:00,6922.3185621,6363.03149443,5601.81803028,6214.22389541,5777.83051819,5264.22013596,5677.97941113
2018-02-16 18:30:00,6329.66755273,6187.54262579,6565.18931279,5565.15174894,6347.7212246,6646.92659495,5247.29430458
2018-02-16 18:32:00,5953.01779968,6217.89610742,5573.02751946,6738.2341534,6489.77983978,4658.44679503,6839.97150747
2018-02-16 18:34:00,6821.47513283,7450.67980808,6824.62919811,6998.07956652,6945.98781144,6776.08394069,6658.97713556
2018-02-16 18:36:00,7687.83721088,7355.97606183,6576.33478766,6626.98637684,6985.23741958,7250.88620581,5980.96165911
2018-02-16 18:38:00,6019.86965283,5926.35756173,5785.18370399,5357.0678587,5803.52669425,4733.25479989,5073.26042345
2018-02-16 18:40:00,5311.1214503,5531.33857753,5081.60948916,6026.71281986,5099.33102689,5970.91776387,5079.87549329
2018-02-16 18:42:00,5871.09802972,5869.40030739,5591.51412379,4900.20690819,5942.05540874,5524.05069762,5342.94793531
2018-02-16 18:44:00,5925.66752244,5850.47895941,6346.49366918,5727.74722951,5508.76527543,4632.01456651,5200.3085046
2018-02-16 18:46:00,5367.16833395,5878.31160129,4729.95116121,5861.01365952,5719.69649751,5467.69689867,4821.3266784
2018-02-16 18:48:00,5357.76921881,5037.04093432,4544.6911745,4628.02137676,4613.28043009,4763.64798324,4490.53537123
2018-02-16 18:50:00,5027.68777447,5321.91691942,5178.83320492,4955.73017953,5333.61174821,3454.00840431,4637.96551089
2018-02-16 18:52:00,4614.02907896,5005.56543245,5015.08335267,4584.59142972,4684.58426689,4639.63090506,4552.3406446
2018-02-16 18:54:00,5275.68040324,5035.98717683,4176.59370624,5167.8197051,5519.35666349,5130.45537181,5116.95059002
2018-02-16 18:56:00,5251.68824027,5255.73428119,5065.43842919,5242.70212442,5045.93492384,4820.63915987,4654.23330096
2018-02-16 18:58:00,5036.46736613,5214.87938807,5234.69742194,5104.621582,5324.37021045,5200.10067687,5147.71702585
2018-02-16 19:00:00,4889.38377823,5855.9677202,4600.73093152,4921.28910373,5461.27087724,5203.03926455,4751.19899635
2018-02-16 19:02:00,5129.56441094,5143.55656422,5781.94201831,5608.5031664,5460.50503779,5398.54494422,5182.74643091
2018-02-16 19:04:00,5768.16090182,5358.16408682,5210.83099104,5262.25064413,5581.82403875,5010.22536395,4984.5011459
2018-02-16 19:06:00,5184.46248132,5801.00984576,5424.66671263,5327.88780165,5443.83709994,4919.17757552,5729.96078459
2018-02-16 19:08:00,6161.2403925,6120.88377175,5459.35111996,6110.68630869,6087.70623485,4938.56047332,5522.6985979
2018-02-16 19:10:00,5656.10433962,5653.71361105,5341.80006629,5881.5530484,5923.18939589,5387.41475435,5784.65814733
2018-02-16 19:12:00,5680.72437174,6300.72332334,6133.96567143,5599.79581374,6150.27845904,6340.06813773,5113.48538245
2018-02-16 19:14:00,5990.37290736,6177.96910065,5788.17151765,5479.68111116,6158.8692512,5962.28079861,4768.49430303
2018-02-16 19:16:00,7660.24918721,5846.79296751,5704.38662357,6246.07873079,2679.31939787,3173.25375065,3956.56506916
2018-02-16 19:18:00,4671.13838341,5825.01528476,4889.3465827,5552.96937134,6264.51924997,5885.5799119,5859.61381414
